source,destination,score
hsa-miR-623,triple negative cancer,0.9993853569030762
hsa-miR-4419a,breast invasive carcinoma cancer,0.9923573732376099
hsa-miR-4279,"Luminal A,triple negative cancer",0.9865842461585999
hsa-miR-18b,larynx cancer,0.9836223721504211
hsa-miR-144*,adrenocortical carcinoma cancer,0.9807468056678772
hsa-miR-2355-5p,gastrointestinal stromal tumor,0.9769953489303589
hsa-miR-93,chordoma,0.969518780708313
hsa-miR-3193,invasive lobular carcinoma cancer,0.8390361666679382
hsa-miR-381,retinoblastoma,0.7902103066444397
hsa-miR-374a,medullary thyroid cancer,0.781813383102417
hsa-miR-4723-5p,pilocytic astrocytoma cancer,0.7384677529335022
hsa-miR-363,glioblastoma cancer,0.7372214794158936
hsa-miR-6124,ovarian carcinoma cancer,0.722564160823822
hsa-miR-6815-3p,chronic lymphocytic leukemia cancer,0.6933071613311768
hsa-miR-6778-5p,cervical squamous cell carcinoma cancer,0.6880662441253662
hsa-miR-488-5p,skin cutaneous melanoma cancer,0.6828629374504089
hsa-miR-4771,large cell carcinoma cancer,0.6559311747550964
hsa-miR-148b,colon adenocarcinoma cancer,0.6372584104537964
hsa-miR-370,infantile hemangioma cancer,0.6351032853126526
hsa-miR-139-5p,B acute lymphoblastic leukemia cancer,0.6291038393974304
hsa-miR-27a-5p,papillary thyroid carcinoma cancer,0.6266542673110962
hsa-miR-659-5p,Gastric lymphoma cancer,0.6121857166290283
hsa-miR-23a-3p,cholangiocarcinoma cancer,0.5959566831588745
hsa-miR-6851-3p,Leptomeningeal metastasis cancer,0.5774676203727722
hsa-miR-3155a,Barrett's carcinogenesis cancer,0.5747988224029541
hsa-miR-7975,oropharyngeal squamous cell carcinoma,0.5732293725013733
hsa-miR-769-3p,acute myelogenous leukemia cancer,0.5732039213180542
hsa-miR-362-3p,follicular thyroid carcinoma cancer,0.5729295611381531
hsa-miR-6869-5p,prostate adenocarcinoma cancer,0.5698248147964478
hsa-miR-6810-5p,B-cell non-Hodgkin lymphoma cancer,0.564771294593811
hsa-miR-4732-3p,B cell lymphoma cancer,0.5614147186279297
hsa-miR-4687-5p,squamous cell carcinoma cancer,0.5586668848991394
hsa-miR-3152-5p,osteosarcoma cancer,0.5562306046485901
hsa-miR-33b-3p,aryngeal squamous cell carcinoma cancer,0.5536209344863892
hsa-miR-1276,malignant pleural mesothelioma cancer,0.5524550676345825
hsa-miR-423-5p,diffuse large B cell lymphoma cancer,0.5522810816764832
hsa-miR-1281,esophageal carcinoma cancer,0.5491071343421936
hsa-miR-6805-5p,Luminal cancer,0.5463367700576782
hsa-miR-301a-5p,meningioma cancer,0.5458151698112488
hsa-miR-370-3p,glioblastoma  cancer,0.5332139134407043
hsa-miR-191,Luminal A cancer,0.531991720199585
