source,destination,score,evidence
hsa-miR-4723-5p,pilocytic astrocytoma cancer,0.98138427734375,Unconfirmed
hsa-miR-552-3p,Duke C cancer,0.9805506467819214,Unconfirmed
hsa-miR-4417,HPV positive cancer,0.9803490042686462,Unconfirmed
hsa-miR-520a-5p,HPV negative cancer,0.9790224432945251,Unconfirmed
hsa-miR-548d-3p,nasopharyngeal cancer,0.9788666367530823,Unconfirmed
hsa-miR-138-5p,combined hepatocellular cholangiocarcinoma cancer,0.9653323888778687,Unconfirmed
hsa-miR-627-3p,oral squamous cell carcinoma,0.9591643810272217,Unconfirmed
hsa-miR-26b*,anaplastic astrocytoma cancer,0.9536372423171997,Unconfirmed
hsa-miR-3182,PR positive cancer,0.9524154663085938,Unconfirmed
hsa-miR-183,rhabdomyosarcomas cancer,0.9476643204689026,miR2Disease
hsa-miR-6749-5p,testicular germ cell tumor cancer,0.9463692903518677,Unconfirmed
hsa-miR-125b-2-3p,colorectal adenocarcinoma cancer,0.9463455080986023,Unconfirmed
hsa-miR-6846-5p,B cell lymphoma of MALT type cancer,0.9456773400306702,Unconfirmed
hsa-miR-6785-3p,hepatocellular carcinoma,0.9449623823165894,Unconfirmed
hsa-miR-3156-5p,primary papillary thyroid carcinomas cancer,0.9425151348114014,Unconfirmed
hsa-miR-183*,esophageal cancer,0.9420753121376038,Unconfirmed
hsa-miR-6073,kidney renal papillary cell carcinoma cancer,0.9406068921089172,Unconfirmed
hsa-miR-5002-3p,colorectal adenoma cancer,0.9395071864128113,Unconfirmed
hsa-miR-92a-1-5p,serous ovarian cancers cancer,0.9313115477561951,Unconfirmed
hsa-miR-27a-5p,papillary thyroid carcinoma cancer,0.911946177482605,Unconfirmed
hsa-miR-23a-3p,cholangiocarcinoma cancer,0.8958964347839355,Unconfirmed
hsa-miR-187-3p,cholangiocellular carcinoma cancer,0.8954943418502808,Unconfirmed
hsa-miR-517c-3p,HER2+ positive cancer,0.8876219391822815,Unconfirmed
hsa-miR-497-3p,esophageal squamous cell carcinomas cancer,0.8873338103294373,Unconfirmed
hsa-miR-769-3p,acute myelogenous leukemia cancer,0.8849387764930725,miR2Disease
hsa-miR-18a,uterine corpus endometrial carcinoma cancer,0.8825170397758484,miR2Disease
hsa-miR-455-5p,uterus cancer,0.8809904456138611,Unconfirmed
hsa-miR-518f-3p,cutaneous T-cell lymphoma cancer,0.8690286874771118,Unconfirmed
hsa-miR-6813-5p,tubulovillous adenoma cancer,0.8669196963310242,Unconfirmed
hsa-miR-148b,colon adenocarcinoma cancer,0.8599622249603271,miR2Disease
hsa-miR-4687-5p,squamous cell carcinoma cancer,0.8576958775520325,Unconfirmed
hsa-miR-6810-5p,B-cell non-Hodgkin lymphoma cancer,0.8576235175132751,Unconfirmed
hsa-miR-623,triple negative cancer,0.8541785478591919,Unconfirmed
hsa-miR-370,infantile hemangioma cancer,0.8520440459251404,miR2Disease
