source,destination,score
hsa-miR-6749-5p,testicular germ cell tumor cancer,0.9970314502716064
hsa-miR-125b-2-3p,colorectal adenocarcinoma cancer,0.9969730377197266
hsa-miR-183,rhabdomyosarcomas cancer,0.9969593286514282
hsa-miR-6846-5p,B cell lymphoma of MALT type cancer,0.99681156873703
hsa-miR-6785-3p,hepatocellular carcinoma,0.9965400695800781
hsa-miR-183*,esophageal cancer,0.9962855577468872
hsa-miR-3156-5p,primary papillary thyroid carcinomas cancer,0.9961382746696472
hsa-miR-5002-3p,colorectal adenoma cancer,0.9961134195327759
hsa-miR-6073,kidney renal papillary cell carcinoma cancer,0.995789110660553
hsa-miR-92a-1-5p,serous ovarian cancers cancer,0.9954667091369629
hsa-miR-6828-3p,chromophobe renal cell carcinoma cancer,0.9774596095085144
hsa-miR-4679,adenocarcinoma cancer,0.9758375287055969
hsa-miR-7-5p,melanoma brain metastasis cancer,0.9735010862350464
hsa-miR-22,bladder cancer,0.9714401364326477
hsa-miR-585-3p,Kaposi's sarcoma cancer,0.9702670574188232
hsa-miR-3189-5p,non-small cell lung cancer,0.9685249924659729
hsa-miR-4476,myeloma cancer,0.9676936268806458
hsa-miR-548e-3p,astrocytoma cancer,0.9592711925506592
hsa-miR-26b-3p,H. Pylori negative gastric cancer,0.9505199193954468
hsa-miR-145-5p,small intestinal neuroendocrine tumor,0.9046370387077332
hsa-miR-517c-3p,HER2+ positive cancer,0.7781676054000854
hsa-miR-187-3p,cholangiocellular carcinoma cancer,0.7661493420600891
hsa-miR-497-3p,esophageal squamous cell carcinomas cancer,0.7630194425582886
hsa-miR-455-5p,uterus cancer,0.7598117589950562
hsa-miR-18a,uterine corpus endometrial carcinoma cancer,0.7517345547676086
hsa-miR-6813-5p,tubulovillous adenoma cancer,0.7491482496261597
hsa-miR-138-5p,combined hepatocellular cholangiocarcinoma cancer,0.7455558776855469
hsa-miR-627-3p,oral squamous cell carcinoma,0.7357155680656433
hsa-miR-518f-3p,cutaneous T-cell lymphoma cancer,0.7336172461509705
hsa-miR-26b*,anaplastic astrocytoma cancer,0.7271103858947754
hsa-miR-552-3p,Duke C cancer,0.7266714572906494
hsa-miR-4417,HPV positive cancer,0.7255011796951294
hsa-miR-520a-5p,HPV negative cancer,0.7237712144851685
hsa-miR-548d-3p,nasopharyngeal cancer,0.7232418656349182
hsa-miR-3182,PR positive cancer,0.6894825100898743
hsa-miR-4785,sarcoma,0.6428205370903015
hsa-miR-6815-5p,hepatoblastoma cancer,0.6118935942649841
hsa-miR-589-5p,colonic adenomas cancer,0.57476407289505
hsa-miR-3912-5p,colon cancer,0.5741659998893738
hsa-miR-652,clear cell ovarian carcinoma cancer,0.5530561208724976
