source,destination,score
hsa-miR-4417,HPV positive cancer,0.9999911785125732
hsa-miR-552-3p,Duke C cancer,0.9999909400939941
hsa-miR-520a-5p,HPV negative cancer,0.9999898672103882
hsa-miR-548d-3p,nasopharyngeal cancer,0.9999877214431763
hsa-miR-6749-5p,testicular germ cell tumor cancer,0.9999113082885742
hsa-miR-125b-2-3p,colorectal adenocarcinoma cancer,0.9998997449874878
hsa-miR-183,rhabdomyosarcomas cancer,0.9998576641082764
hsa-miR-6846-5p,B cell lymphoma of MALT type cancer,0.9997475743293762
hsa-miR-3182,PR positive cancer,0.9997323155403137
hsa-miR-6785-3p,hepatocellular carcinoma,0.9997233748435974
hsa-miR-3156-5p,primary papillary thyroid carcinomas cancer,0.9996463060379028
hsa-miR-183*,esophageal cancer,0.9996398687362671
hsa-miR-6073,kidney renal papillary cell carcinoma cancer,0.9995740056037903
hsa-miR-5002-3p,colorectal adenoma cancer,0.9995614886283875
hsa-miR-92a-1-5p,serous ovarian cancers cancer,0.9992699027061462
hsa-miR-4785,sarcoma,0.9970717430114746
hsa-miR-652,clear cell ovarian carcinoma cancer,0.9961270689964294
hsa-miR-589-5p,colonic adenomas cancer,0.994825005531311
hsa-miR-3912-5p,colon cancer,0.9948075413703918
hsa-miR-6815-5p,hepatoblastoma cancer,0.9929131865501404
hsa-miR-6813-5p,tubulovillous adenoma cancer,0.9918785095214844
hsa-miR-518f-3p,cutaneous T-cell lymphoma cancer,0.9907337427139282
hsa-miR-497-3p,esophageal squamous cell carcinomas cancer,0.9896219968795776
hsa-miR-187-3p,cholangiocellular carcinoma cancer,0.9830853343009949
hsa-miR-18a,uterine corpus endometrial carcinoma cancer,0.970646321773529
hsa-miR-455-5p,uterus cancer,0.9587744474411011
hsa-miR-26b-3p,H. Pylori negative gastric cancer,0.9318686723709106
hsa-miR-548e-3p,astrocytoma cancer,0.9274999499320984
hsa-miR-585-3p,Kaposi's sarcoma cancer,0.9182236790657043
hsa-miR-3189-5p,non-small cell lung cancer,0.9178826808929443
hsa-miR-4476,myeloma cancer,0.9170475602149963
hsa-miR-22,bladder cancer,0.9144775867462158
hsa-miR-7-5p,melanoma brain metastasis cancer,0.9139227271080017
hsa-miR-517c-3p,HER2+ positive cancer,0.9121330976486206
hsa-miR-6828-3p,chromophobe renal cell carcinoma cancer,0.9070352911949158
hsa-miR-4679,adenocarcinoma cancer,0.9061797857284546
hsa-miR-627-3p,oral squamous cell carcinoma,0.8814958333969116
hsa-miR-138-5p,combined hepatocellular cholangiocarcinoma cancer,0.8261891007423401
hsa-miR-26b*,anaplastic astrocytoma cancer,0.7310081720352173
hsa-miR-145-5p,small intestinal neuroendocrine tumor,0.45801684260368347
