source,destination,score
hsa-miR-520a-5p,HPV negative cancer,0.5711946487426758
hsa-miR-552-3p,Duke C cancer,0.5705037713050842
hsa-miR-548d-3p,nasopharyngeal cancer,0.5699127316474915
hsa-miR-4417,HPV positive cancer,0.5664792060852051
hsa-miR-145-5p,small intestinal neuroendocrine tumor,0.5659945607185364
hsa-miR-6749-5p,testicular germ cell tumor cancer,0.5654964447021484
hsa-miR-183,rhabdomyosarcomas cancer,0.5653839111328125
hsa-miR-125b-2-3p,colorectal adenocarcinoma cancer,0.564839780330658
hsa-miR-6785-3p,hepatocellular carcinoma,0.5601116418838501
hsa-miR-187-3p,cholangiocellular carcinoma cancer,0.5597723126411438
hsa-miR-3182,PR positive cancer,0.5595639944076538
hsa-miR-6815-5p,hepatoblastoma cancer,0.5566815137863159
hsa-miR-18a,uterine corpus endometrial carcinoma cancer,0.5554730296134949
hsa-miR-518f-3p,cutaneous T-cell lymphoma cancer,0.55546635389328
hsa-miR-3912-5p,colon cancer,0.5542739033699036
hsa-miR-3156-5p,primary papillary thyroid carcinomas cancer,0.5539929866790771
hsa-miR-6073,kidney renal papillary cell carcinoma cancer,0.5536068081855774
hsa-miR-589-5p,colonic adenomas cancer,0.5535547733306885
hsa-miR-455-5p,uterus cancer,0.5508467555046082
hsa-miR-517c-3p,HER2+ positive cancer,0.5506848692893982
hsa-miR-6813-5p,tubulovillous adenoma cancer,0.5468359589576721
hsa-miR-4785,sarcoma,0.5438040494918823
hsa-miR-497-3p,esophageal squamous cell carcinomas cancer,0.5428430438041687
hsa-miR-6846-5p,B cell lymphoma of MALT type cancer,0.5066425800323486
hsa-miR-652,clear cell ovarian carcinoma cancer,0.49190548062324524
hsa-miR-183*,esophageal cancer,0.48990893363952637
hsa-miR-548e-3p,astrocytoma cancer,0.4801580607891083
hsa-miR-7-5p,melanoma brain metastasis cancer,0.47886019945144653
hsa-miR-585-3p,Kaposi's sarcoma cancer,0.4783158004283905
hsa-miR-3189-5p,non-small cell lung cancer,0.47816336154937744
hsa-miR-22,bladder cancer,0.47778061032295227
hsa-miR-6828-3p,chromophobe renal cell carcinoma cancer,0.4773024022579193
hsa-miR-4679,adenocarcinoma cancer,0.46572670340538025
hsa-miR-138-5p,combined hepatocellular cholangiocarcinoma cancer,0.46362656354904175
hsa-miR-4476,myeloma cancer,0.4626879394054413
hsa-miR-26b*,anaplastic astrocytoma cancer,0.46013665199279785
hsa-miR-627-3p,oral squamous cell carcinoma,0.456426203250885
hsa-miR-5002-3p,colorectal adenoma cancer,0.4500821530818939
hsa-miR-26b-3p,H. Pylori negative gastric cancer,0.42394590377807617
hsa-miR-92a-1-5p,serous ovarian cancers cancer,0.36980146169662476
