source,destination,score
hsa-miR-623,triple negative cancer,0.9234070181846619
hsa-miR-4279,"Luminal A,triple negative cancer",0.8803057670593262
hsa-miR-4771,large cell carcinoma cancer,0.8445054888725281
hsa-miR-144*,adrenocortical carcinoma cancer,0.8301275372505188
hsa-miR-2355-5p,gastrointestinal stromal tumor,0.7995525598526001
hsa-miR-4723-5p,pilocytic astrocytoma cancer,0.7991160154342651
hsa-miR-4419a,breast invasive carcinoma cancer,0.784222424030304
hsa-miR-3193,invasive lobular carcinoma cancer,0.7612283229827881
hsa-miR-6815-3p,chronic lymphocytic leukemia cancer,0.7599747180938721
hsa-miR-381,retinoblastoma,0.7575747966766357
hsa-miR-374a,medullary thyroid cancer,0.754309892654419
hsa-miR-6778-5p,cervical squamous cell carcinoma cancer,0.7542534470558167
hsa-miR-362-3p,follicular thyroid carcinoma cancer,0.6966614723205566
hsa-miR-18b,larynx cancer,0.6886840462684631
hsa-miR-139-5p,B acute lymphoblastic leukemia cancer,0.6847816109657288
hsa-miR-93,chordoma,0.6190188527107239
hsa-miR-363,glioblastoma cancer,0.6180614233016968
hsa-miR-148b,colon adenocarcinoma cancer,0.6132882237434387
hsa-miR-370,infantile hemangioma cancer,0.6067501902580261
hsa-miR-488-5p,skin cutaneous melanoma cancer,0.6019698977470398
hsa-miR-27a-5p,papillary thyroid carcinoma cancer,0.5959593653678894
hsa-miR-6124,ovarian carcinoma cancer,0.593854546546936
hsa-miR-3155a,Barrett's carcinogenesis cancer,0.5490449666976929
hsa-miR-659-5p,Gastric lymphoma cancer,0.548647940158844
hsa-miR-191,Luminal A cancer,0.519631028175354
hsa-miR-370-3p,glioblastoma  cancer,0.5176171660423279
hsa-miR-7975,oropharyngeal squamous cell carcinoma,0.5120353102684021
hsa-miR-6869-5p,prostate adenocarcinoma cancer,0.5117576122283936
hsa-miR-6810-5p,B-cell non-Hodgkin lymphoma cancer,0.5110958218574524
hsa-miR-1276,malignant pleural mesothelioma cancer,0.509135901927948
hsa-miR-6805-5p,Luminal cancer,0.5082825422286987
hsa-miR-423-5p,diffuse large B cell lymphoma cancer,0.508234977722168
hsa-miR-769-3p,acute myelogenous leukemia cancer,0.508044958114624
hsa-miR-4687-5p,squamous cell carcinoma cancer,0.5069039463996887
hsa-miR-33b-3p,aryngeal squamous cell carcinoma cancer,0.5063778162002563
hsa-miR-301a-5p,meningioma cancer,0.506356954574585
hsa-miR-4732-3p,B cell lymphoma cancer,0.506318986415863
hsa-miR-3152-5p,osteosarcoma cancer,0.5048559308052063
hsa-miR-23a-3p,cholangiocarcinoma cancer,0.5034978985786438
hsa-miR-1281,esophageal carcinoma cancer,0.5032157301902771
hsa-miR-6851-3p,Leptomeningeal metastasis cancer,0.49174895882606506
