source,destination,score
hsa-miR-551a,diffuse large B-cell lymphoma,0.8887544274330139
hsa-miR-339-5p,miR-675-y,0.888059675693512
hsa-miR-23a-3p,miR-675-y,0.888059675693512
hsa-miR-542-5p,synovial sarcoma,0.887004554271698
hsa-miR-29b-1,synovial sarcoma,0.887004554271698
hsa-miR-496,synovial sarcoma,0.887004554271698
hsa-miR-1283,synovial sarcoma,0.887004554271698
hsa-miR-766-3p-587,synovial sarcoma,0.887004554271698
hsa-miR-6516-3p,synovial sarcoma,0.887004554271698
hsa-miR-8057,synovial sarcoma,0.887004554271698
hsa-miR-7156-3p,synovial sarcoma,0.887004554271698
hsa-miR-6127,synovial sarcoma,0.887004554271698
hsa-miR-628,synovial sarcoma,0.887004554271698
hsa-miR-4726-5p,synovial sarcoma,0.887004554271698
hsa-miR-199a-5p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-6827-5p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-496,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-513b,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-363-5p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-6824-5p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-6720-3p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-4793-3p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-425*,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-96-5p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603
hsa-miR-181d,"Luminal B,triple negative",0.886884331703186
hsa-miR-425*,"Luminal B,triple negative",0.886884331703186
hsa-miR-361-3p,"Luminal B,triple negative",0.886884331703186
hsa-miR-569,solid pseudopapillary neoplasm of pancreas,0.8864606618881226
hsa-miR-6127,solid pseudopapillary neoplasm of pancreas,0.8864606618881226
hsa-miRPlus-A1083,castration-resistant prostate cancer,0.8864213824272156
hsa-miRPlus-A1031,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-8064,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-125a,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-522*,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-496,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-3647-3p,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-6824-5p,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-6515-5p,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-8057,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-5695,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-548j-5p,castration-resistant prostate cancer,0.8864213824272156
hsa-miR-29b-1,sarcoma,0.8861002326011658
hsa-miR-3647-3p,sarcoma,0.8861002326011658
