source,destination,score
hsa-miR-4771,large cell carcinoma cancer,1.0
hsa-miR-139-5p,B acute lymphoblastic leukemia cancer,1.0
hsa-miR-4279,"Luminal A,triple negative cancer",0.9921958446502686
hsa-miR-488-5p,skin cutaneous melanoma cancer,0.9909795522689819
hsa-miR-3193,invasive lobular carcinoma cancer,0.9908682107925415
hsa-miR-374a,medullary thyroid cancer,0.986880898475647
hsa-miR-381,retinoblastoma,0.9817455410957336
hsa-miR-6815-3p,chronic lymphocytic leukemia cancer,0.9811227321624756
hsa-miR-144*,adrenocortical carcinoma cancer,0.9789132475852966
hsa-miR-362-3p,follicular thyroid carcinoma cancer,0.9787014722824097
hsa-miR-6778-5p,cervical squamous cell carcinoma cancer,0.9753606915473938
hsa-miR-2355-5p,gastrointestinal stromal tumor,0.9653398990631104
hsa-miR-363,glioblastoma cancer,0.9633951187133789
hsa-miR-6124,ovarian carcinoma cancer,0.9590044021606445
hsa-miR-623,triple negative cancer,0.7826268076896667
hsa-miR-4723-5p,pilocytic astrocytoma cancer,0.7780876159667969
hsa-miR-148b,colon adenocarcinoma cancer,0.7666435837745667
hsa-miR-23a-3p,cholangiocarcinoma cancer,0.7527258992195129
hsa-miR-769-3p,acute myelogenous leukemia cancer,0.7338540554046631
hsa-miR-4419a,breast invasive carcinoma cancer,0.7327418327331543
hsa-miR-27a-5p,papillary thyroid carcinoma cancer,0.7157931923866272
hsa-miR-4687-5p,squamous cell carcinoma cancer,0.7009276151657104
hsa-miR-370,infantile hemangioma cancer,0.6915100812911987
hsa-miR-1276,malignant pleural mesothelioma cancer,0.6318433880805969
hsa-miR-6851-3p,Leptomeningeal metastasis cancer,0.5536882281303406
hsa-miR-93,chordoma,0.5438631176948547
hsa-miR-301a-5p,meningioma cancer,0.5349144339561462
hsa-miR-6805-5p,Luminal cancer,0.5342270135879517
hsa-miR-6810-5p,B-cell non-Hodgkin lymphoma cancer,0.5189831852912903
hsa-miR-1281,esophageal carcinoma cancer,0.49870723485946655
hsa-miR-423-5p,diffuse large B cell lymphoma cancer,0.4772879481315613
hsa-miR-33b-3p,aryngeal squamous cell carcinoma cancer,0.46623799204826355
hsa-miR-659-5p,Gastric lymphoma cancer,0.45526695251464844
hsa-miR-3152-5p,osteosarcoma cancer,0.44950246810913086
hsa-miR-4732-3p,B cell lymphoma cancer,0.42458468675613403
hsa-miR-191,Luminal A cancer,0.4192403256893158
hsa-miR-18b,larynx cancer,0.41241273283958435
hsa-miR-370-3p,glioblastoma  cancer,0.40289294719696045
hsa-miR-7975,oropharyngeal squamous cell carcinoma,0.40123310685157776
hsa-miR-6869-5p,prostate adenocarcinoma cancer,0.39923810958862305
hsa-miR-3155a,Barrett's carcinogenesis cancer,0.32576659321784973
